PMID,miRNA,disease
34322902,hsa-mir-21,psoriasis 1
33120918,hsa-mir-21,high grade glioma
32358022,hsa-mir-21,limb ischemia
36335706,hsa-mir-21,salivary gland adenoid cystic carcinoma
33112352,hsa-mir-21,"Myocardial Infarction, Acute"
36653745,hsa-mir-155,familial febrile seizures 1
35034584,hsa-mir-155,C syndrome
32472715,hsa-mir-155,psoriasis 1
36335706,hsa-mir-155,salivary gland adenoid cystic carcinoma
35173453,hsa-mir-155,psoriasis 1
32985331,hsa-mir-155,obstructive nephropathy
34277059,hsa-mir-155,lung squamous cell carcinoma
32096185,hsa-mir-150,"Myocardial Infarction, Acute"
32504995,hsa-mir-150,uric acid nephrolithiasis
36335706,hsa-mir-150,salivary gland adenoid cystic carcinoma
31894531,hsa-mir-146a,ankylosing spondylitis 1
31862871,hsa-mir-195,high grade glioma
32111564,hsa-mir-195,familial temporal lobe epilepsy 3
31322197,hsa-mir-195,lung squamous cell carcinoma
31518563,hsa-mir-125b,psoriasis 1
32614608,hsa-mir-125b,lung squamous cell carcinoma
32622721,hsa-mir-125b,bladder urothelial carcinoma
31114367,hsa-mir-125b,esophagus adenocarcinoma
35662010,hsa-mir-19a,pancreatic adenocarcinoma
34773997,hsa-mir-17,Charcot-Marie-Tooth disease type 1B
30524906,hsa-mir-17,high grade glioma
31994002,hsa-mir-17,cervical squamous cell carcinoma
32283508,hsa-mir-182,"spondyloepimetaphyseal dysplasia, Strudwick type"
33506742,hsa-mir-370,pancreatic adenocarcinoma
36335706,hsa-mir-125a,salivary gland adenoid cystic carcinoma
32845082,hsa-mir-29b,autosomal recessive congenital bilateral absence of vas deferens
35517895,hsa-mir-122,non-alcoholic steatohepatitis
33653250,hsa-mir-206,hypomelanosis of Ito
35196388,hsa-mir-206,chikungunya
35912726,hsa-mir-96,Prostate Cancer 
35109756,hsa-mir-96,"Myocardial Infarction, Acute"
34528480,hsa-mir-149,Noonan syndrome-like disorder with loose anagen hair
32509059,hsa-mir-149,colon carcinoma
34469714,hsa-mir-124,osteogenesis imperfecta type 1
34146302,hsa-mir-124,"Myocardial Infarction, Acute"
30867777,hsa-mir-124,gastric adenocarcinoma
32127787,hsa-mir-142,late onset Parkinson's disease
31930050,hsa-mir-142,Nager acrofacial dysostosis
33336275,hsa-mir-221,high grade glioma
31389734,hsa-mir-221,"spondyloepimetaphyseal dysplasia, Strudwick type"
33730072,hsa-mir-221,pancreatic adenocarcinoma
