name,cancer type,pubmed id
LINC001152,hepatocellular carcinoma,31054511
LINC00152,cervical cancer,31114990
6p22lncRNAs,neuroblastoma,29533783
7SK,hepatocellular carcinoma,27894309
7SL,breast cancer,26718402
91H,colorectal cancer,30978169
91H,colorectal cancer,29410604
91H,breast cancer,27780718
91H,osteosarcoma,27555785
91H,colorectal cancer,25058480
A1BG-AS1,hepatocellular carcinoma,30556161
A2M-AS1,breast cancer,32352014
AA174084,gastric cancer,24986041
AATBC,nasopharyngeal cancer,32364663
AATBC,bladder cancer,25473900
AB007962,gastric cancer,30214597
AB019562,hypopharyngeal squamous cell carcinoma,26131061
AB019562,hepatocellular carcinoma,28534955
AB073614,cervical cancer,30964162
AB073614,epithelial ovarian cancer,30909184
AB073614,gastric cancer,31957827
AB073614,colorectal cancer,31934121
AB073614,non small cell lung cancer,31298333
AB073614,ovarian cancer,26299803
AB073614,glioma,27104549
AB073614,colorectal cancer,29439310
AB073614,colorectal cancer,28738539
AB073614,glioma,29029454
AB073614,glioma,27775800
AB074169,papillary thyroid cancer,29735546
AB074278,urothelial cancer,25165097
AB209371,ovarian cancer,31601255
AB209630,pancreatic cancer,31147453
AB209630,pancreatic ductal adenocarcinoma,29526843
AB209630,hepatocellular carcinoma,29042928
AB209630,hypopharyngeal squamous cell carcinoma,26895099
AB209630,hypopharyngeal squamous cell carcinoma,26131061
ABHD11-AS1,endometrial cancer,29799152
ABHD11-AS1,ovarian cancer,31568657
ABHD11-AS1,colorectal cancer,30429229
ABHD11-AS1,papillary thyroid cancer,31409775
ABHD11-AS1,papillary thyroid cancer,30657221
ABHD11-AS1,pancreatic cancer,30575903
ABHD11-AS1,colorectal cancer,30537177
ABHD11-AS1,pancreatic cancer,31333792
ABHD11-AS1,bladder cancer,28157695
ABHD11-AS1,gastric cancer,26280398
ABHD11-AS1,gastric cancer,24984296
ABHD11-AS1,ovarian cancer,28818073
ABHD11-AS1,endometrial cancer,29799152
AC002519.6,bladder cancer,27363013
AC003092.1,glioblastoma,30442884
AC004166.7,lung adenocarcinoma,25089627
AC005009.1,lung adenocarcinoma,30151992
AC005550.4,urothelial cancer,27448299
AC007128.1,esophageal cancer,30972633
AC007255.8,papillary thyroid cancer,28817151
AC007271.3,oral squamous cell carcinoma,31759044
AC007271.3,oral squamous cell carcinoma,29763905
AC007403.1,non small cell lung cancer,26393913
AC008392.1,non small cell lung cancer,29881308
AC008440.10,laryngeal squamous cell cancer,29775753
AC008440.10,laryngeal squamous cell cancer,29775753
AC008753.6,acute myeloid leukemia,31356197
AC009014.3,prostate cancer,29723810
AC009022.1,colorectal cancer,31637768
AC009411.1,lung adenocarcinoma,30151992
AC010761.9,gastric adenocarcinoma,29499718
AC012065.7,chronic lymphocytic leukemia,27777635
AC012640.1,bladder cancer,31892978
AC013264.2,non small cell lung cancer,25394782
AC016205.1,esophageal cancer,30972633
AC016405.3,glioblastoma,30888082
AC016683.6,lung cancer,29997452
AC016735.2,gastric cancer,29693709
AC017078.1,cervical cancer,30410863
AC020978,non small cell lung cancer,32308748
AC023115.3,glioblastoma,28499919
AC023824.1,lung adenocarcinoma,31558162
AC024022.1,papillary renal cell carcinoma,31516581
AC024560.2,cervical cancer,27035672
AC026166.2-001,laryngeal squamous cell cancer,25243407
AC026166.2-001,laryngeal squamous cell cancer,29463827
AC026904.1,lung cancer,32270919
AC026904.1,breast cancer,29774079
AC073284.4,breast cancer,31215650
AC073352.1,hepatocellular carcinoma,30916406
AC079776.2,lung adenocarcinoma,25089627
AC079949.2,esophageal cancer,30972633
AC087379.2,papillary renal cell carcinoma,31516581
AC090952.4.1,non small cell lung cancer,23741487
AC091729.7,sinonasal squamous cell carcinoma,32039035
