lncRNA,Disease,PubMed ID
ARHGAP5-AS1,"Carcinoma, Hepatocellular",36354136
HOTTIP,Osteosarcoma,33475442
HOTTIP,Glioma,35402278
HOTTIP,Retinoblastoma,33784880
HOTTIP,stomach carcinoma,32633359
HOTTIP,Nasopharyngeal Neoplasms,30685769
HOTTIP,"Arthritis, Rheumatoid",34808131
HOTTIP,Mouth Neoplasms,34268933
HOTTIP,Squamous Cell Carcinoma of Head and Neck,31910357
HOTTIP,Lung Diseases,34212978
HOTAIRM1,Stomach Neoplasms,30302796
HOTAIRM1,Breast Neoplasms,35694102
HOTAIRM1,"Carcinoma, Non-Small-Cell Lung",33537917
HOTAIRM1,"Carcinoma, Hepatocellular",30070317
HOTAIRM1,Ovarian Neoplasms,31935390
HOTAIRM1,Ovarian Neoplasms,33939846
HOTAIRM1,Squamous Cell Carcinoma of Head and Neck,35087800
HOTAIRM1,"Leukemia, Myeloid, Acute",35520918
HOTAIRM1,pancreatic ductal adenocarcinoma,30613920
HOTAIRM1,Glioblastoma,30376874
HOTAIRM1,Glioblastoma,33323548
HOTTIP,"Leukemia, Myeloid, Acute",31002141
HOTTIP,Osteosarcoma,31423232
HOTAIRM1,Thyroid Neoplasms,33650656
HOTTIP,Squamous Cell Carcinoma of Head and Neck,35210436
HOXA10-AS,Stomach Neoplasms,35521747
HOXA10-AS,Nasopharyngeal carcinoma,35072529
HOXA10-AS,Pancreatic Neoplasms,35813473
HOXA10-AS,Mouth Neoplasms,35858923
HOXA10-AS,Glioma,34686327
HOXA10,Squamous Cell Carcinoma of Head and Neck,33831733
HOTTIP,Breast Neoplasms,32307830
HOTTIP,Colorectal Neoplasms,31945724
HOTTIP,Colorectal Neoplasms,30229808
HOTTIP,"Thyroid Cancer, Papillary",32194727
HOTTIP,"Carcinoma, Renal Cell",30511250
HOTTIP,Ovarian Neoplasms,30452402
HOTTIP,Ovarian Neoplasms,33000231
HOTTIP,Ovarian Neoplasms,32783402
HOTTIP,Ovarian Neoplasms,33710684
HOTTIP,Ovarian Neoplasms,36699159
HOTTIP,Squamous Cell Carcinoma of Head and Neck,31032351
HOTAIRM1,Glioblastoma,34584066
HOTAIRM1,Thyroid Neoplasms,32951513
HOTAIR,Osteosarcoma,35435107
